"Title","Average Sterling exchange rate: US Dollar XUMAUSS"
"CDID","AUSS"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","13-03-2026"
"Next release","16 April 2026"
"Important notes",
"1945",""
"1946",""
"1947",""
"1948",""
"1949",""
"1950",""
"1951",""
"1952",""
"1953",""
"1954",""
"1955",""
"1956",""
"1957",""
"1958",""
"1959",""
"1960",""
"1961",""
"1962",""
"1963",""
"1964",""
"1965",""
"1966",""
"1967",""
"1968",""
"1969",""
"1970",""
"1971",""
"1972",""
"1973",""
"1974",""
"1975",""
"1976",""
"1977",""
"1978",""
"1979",""
"1980",""
"1981",""
"1982",""
"1983",""
"1984",""
"1985",""
"1986",""
"1987",""
"1988",""
"1989",""
"1990",""
"1991",""
"1992",""
"1993",""
"1994",""
"1995",""
"1996",""
"1997","1.6382"
"1998","1.6574"
"1999","1.6180"
"2000","1.5151"
"2001","1.4400"
"2002","1.5035"
"2003","1.6353"
"2004","1.8323"
"2005","1.8189"
"2006","1.8430"
"2007","2.0022"
"2008","1.8528"
"2009","1.5665"
"2010","1.5460"
"2011","1.6030"
"2012","1.5851"
"2013","1.5644"
"2014","1.6477"
"2015","1.5286"
"2016","1.3542"
"2017","1.2888"
"2018","1.3350"
"2019","1.2766"
"2020","1.2837"
"2021","1.3757"
"2022","1.2362"
"2023","1.2434"
"2024","1.2783"
"2025","1.3185"
"1945 Q1",""
"1945 Q2",""
"1945 Q3",""
"1945 Q4",""
"1946 Q1",""
"1946 Q2",""
"1946 Q3",""
"1946 Q4",""
"1947 Q1",""
"1947 Q2",""
"1947 Q3",""
"1947 Q4",""
"1948 Q1",""
"1948 Q2",""
"1948 Q3",""
"1948 Q4",""
"1949 Q1",""
"1949 Q2",""
"1949 Q3",""
"1949 Q4",""
"1950 Q1",""
"1950 Q2",""
"1950 Q3",""
"1950 Q4",""
"1951 Q1",""
"1951 Q2",""
"1951 Q3",""
"1951 Q4",""
"1952 Q1",""
"1952 Q2",""
"1952 Q3",""
"1952 Q4",""
"1953 Q1",""
"1953 Q2",""
"1953 Q3",""
"1953 Q4",""
"1954 Q1",""
"1954 Q2",""
"1954 Q3",""
"1954 Q4",""
"1955 Q1",""
"1955 Q2",""
"1955 Q3",""
"1955 Q4",""
"1956 Q1",""
"1956 Q2",""
"1956 Q3",""
"1956 Q4",""
"1957 Q1",""
"1957 Q2",""
"1957 Q3",""
"1957 Q4",""
"1958 Q1",""
"1958 Q2",""
"1958 Q3",""
"1958 Q4",""
"1959 Q1",""
"1959 Q2",""
"1959 Q3",""
"1959 Q4",""
"1960 Q1",""
"1960 Q2",""
"1960 Q3",""
"1960 Q4",""
"1961 Q1",""
"1961 Q2",""
"1961 Q3",""
"1961 Q4",""
"1962 Q1",""
"1962 Q2",""
"1962 Q3",""
"1962 Q4",""
"1963 Q1",""
"1963 Q2",""
"1963 Q3",""
"1963 Q4",""
"1964 Q1",""
"1964 Q2",""
"1964 Q3",""
"1964 Q4",""
"1965 Q1",""
"1965 Q2",""
"1965 Q3",""
"1965 Q4",""
"1966 Q1",""
"1966 Q2",""
"1966 Q3",""
"1966 Q4",""
"1967 Q1",""
"1967 Q2",""
"1967 Q3",""
"1967 Q4",""
"1968 Q1",""
"1968 Q2",""
"1968 Q3",""
"1968 Q4",""
"1969 Q1",""
"1969 Q2",""
"1969 Q3",""
"1969 Q4",""
"1970 Q1",""
"1970 Q2",""
"1970 Q3",""
"1970 Q4",""
"1971 Q1",""
"1971 Q2",""
"1971 Q3",""
"1971 Q4",""
"1972 Q1",""
"1972 Q2",""
"1972 Q3",""
